recipe_name,ingredients_raw,steps,love_count,url,category,total_ingredients,ingredients_cleaned,total_steps
bakso sapi,"250 gram daging sapi--35 gram es batu (sekitar 4 buah ukuran 2cmx2cm)--1 buah putih telur--3 sdm tepung tapioka--1 sdt garam--1/2 sdt merica bubuk--1/2 sdt baking powder--1/2 sdm bawang putih bubuk (bisa pakai 2 bawang putih, d goreng, dihaluskan)--","1) siapkan semua bahan, cincang daging sapi kecil2.
2) masukkan daging cincang kedalam blender, tambahkan es batu (es nya di haluskan juga ya)
3) proses sampai halus
4) tanbahkan putih telur. blender sampai rata. tambahkan tepung tapioka, bawang putih, garam, merica dan baking powder. proses lagi sampai tercampur rata
5) siapkan baskom besar, masukkan adonan bakso, uleni, dan banting2 adonan sampai bener2 menyatu dan teksturnya lembut seperti pasta
6) bulat2kan
7) didihkan air, sampai benar2 mendidih, kecilkan api masukkan bulatan2 bakso. jika sudah mengapung langsung angkate
8) lalu taruh d air es
9) tiriskan. siap di olah, bisa dijadikan bakso kuah, bakso goreng, bakso bakar dll
10) siap di olah, bisa dijadikan bakso kuah, bakso goreng, bakso bakar dll",939,https://cookpad.com/id/resep/3431604-bakso-sapi-pakai-blender,sapi,8,"daging sapi , es batu cmx , putih telur , tepung tapioka , garam , merica bubuk , baking powder , bawang putih bubuk bawang putih , goreng , dihaluskan",10
chilli tuna puff super,1/2 pack kulit puff instant saya merk.edo--bahan isian--1 kaleng tuna in oil pedas saya merk kingfisher--3 siung bawang putih digoreng ambil minyaknya aja--secukupnya boncabe/chili flakes--secukupnya garam--secukupnya lada--secukupnya gula--2 butir telur rebus potong2--,"1) langkah 
1.tumis chili tuna chunk dengan minyak bawang disusul jagung pipil,lalu masukkan gula+garam+merica/lada hitam sesuai selera.
2.terakhir,taburi chili flakes/boncabe dan parsley cincang,aduk rata,sisihkan
3.potong puff seperti di foto step2,isi dengan telur rebus+tuna,lalu lipat,pipihkan samping2nya menggunakan ujung garpu supaya tidak bocor
4.oles kuning telur,semprot saus+parsley
2) panggang dengan suhu kurleb 200 derajat sampai keemasan dan kokoh sekitar 18 menit atau sesuaikan oven sendiri
enjoyyy",516,https://cookpad.com/id/resep/4463240-chilli-tuna-puff-kilat-super-yummy-%f0%9f%98%99,ikan,9,"pack kulit puff instant merkedo , isian , kaleng tuna in oil pedas merk kingfisher , bawang putih digoreng ambil minyaknya , boncabe chili flakes , garam , lada , gula , telur rebus potong",3
perkedel tahu,3 buah tahu petak--1 batang daun seledri--2 siung bawang putih--2 siung bawang merah--6 butir merica--1 sdt garam--masako (optional)--3 sdm terigu--,"1) giling halus bawang merah+bawang putih+ merica+garam.
2) hancurkan tahu, tambahkan bumbu halus, daun seledri, aduk merata. lalu masukkan terigu sedikit2. koreksi rasa bl krg asin blh tmbhkan masako/ garam halus. aduk hingga merata.
3) bentuk adonan perkedel hingga adonan habis.
4) goreng perkedel dlm minyak panas, jgn lupa dibalik. angkat dan tiriskan.
5) perkedel tahu udh jd, makin enk dicocol dg saus sambal",481,https://cookpad.com/id/resep/4337985-perkedel-tahu-simple,tahu,8,"tahu petak , batang daun seledri , bawang putih , bawang merah , merica , garam , masako , terigu",5
orek tempe basah bumbu ulek,"1 papan tempe potong sesuai selera--3 buah cabe ijo iris--secukupnya kecap manis--secukupnya gula,garam,penyedap--secukupnya air--bumbu halus👇--5 siung bawang merah--2 siung bawang putih--1/2 buah tomat--3 buah cabe merah kriting/cabe rawit--2 butir kemiri--1/4 sdt ketumbar--","1) goreng tempe yg sdh di potong2 dlm minyak panas hingga matang,jgn smpe kering yah
2) tumis bumbu halus hingga harum dan benar2 matang,setelah bumbu matang tuangi air secukupnya,tuang kecap manis,gula,garam dan penyedap,tes rasanya
3) jika rasa sdh pas masukan tempe dan cabe hijau lalu aduk hingga rata dan bumbu meresap,angkat dan sajikan",452,https://cookpad.com/id/resep/3989566-orek-tempe-basah-bumbu-ulek,tempe,12,"papan tempe potong , cabe ijo , kecap manis , gula , garam , penyedap , air , bumbu halus , bawang merah , bawang putih , tomat , cabe merah kriting cabe rawit , kemiri , ketumbar",3
sop iga sapi,"1 kg iga sapi, cuci bersih, tiriskan--secukupnya air didihkan utk rebusan awal--2 liter air--2 batang wortel, potong sesuai selera--2 buah kentang, potong sesuai selera--1 buah bawang bombay ukuran sedang, potong kotak besar--1 batang kayumanis kurleb 3 cm--4 butir cengkeh--3 butir kapulaga jawa, ambil isinya--2 batang bagian putihnya daun bawang, potong-potong--secukupnya garam, gula dan kaldu bubuk (saya pakai yg non msg)--secukupnya margarine untuk menumis--bumbu yg dihaluskan :--7 siung bawang putih--1 sdt merica butir--1/2 bagian biji pala uk. kecil--pelengkap :--emping melinjo--seledri--bawang goreng--jeruk limau--sambal rawit--","1) didihkan secukupnya air, lalu masukan potongan iga sapi, rebus kurleb 5 menit, angkat, tiriskan, buang airnya ya karena perebusan pertama ini utk menghilangkan darah dan sebagian lemak supaya airnya nanti tidak terlalu berlemak. lalu rebus kembali daging iga dan 2 liter air sampai lunak. (saya pakai pressure cooker 35 menit). sisihkan.
2) tumis potongan bawang bombay menggunakan margarine sampai harum dan sisinya berkaramel. masukan bumbu halus, tumis lagi beberapa saat, kemudian masukan kayumanis, cengkeh dan kapulaga, tumis sampai matang.
3) masukan tumisan bumbu yg sudah matang kedalam rebusan iga sapi, aduk rata. nyalakan kompor. (boleh ditambahkan air jika air menyusut banyak saat proses perebusan). lalu masukan kentang dan wortel, beri garam, gula dan kaldu bubuk, masak sampai wortel dan kentang matang. tes rasa. matikan kompor. terakhir masukan potongan batang daun bawang, aduk rata kembali. angkat.
4) sajikan hangat bersama nasi dan pelengkapnya.",375,https://cookpad.com/id/resep/3310336-sop-iga-sapi-enaaak-bangeet%f0%9f%91%8c%f0%9f%91%8d,sapi,22,"iga sapi , tiriskan , air didihkan utk rebusan , air , batang wortel , potong , kentang , potong , bawang bombai , potong kotak , batang kayu manis kurleb , cengkeh , kapulaga jawa , ambil isinya , batang putihnya daun bawang , potong potong , garam , gula kaldu bubuk non msg , margarine menumis , bumbu dihaluskan , bawang putih , merica , pala , pelengkap , emping melinjo , seledri , bawang goreng , jeruk limau , sambal rawit",4
nasi goreng kambing,"3 piring nasi putih dingin--350 gr daging kambing, potong kotak--1 btg kecil kayu manis--1 sdm bubuk kari--bumbu yg dihaluskan :--8 btr bawang merah--4 siung bawang putih--1/2 sdt jintan--1/2 sdt adas--1 sdm ketumbar--2 bh kapulaga--5 bh cengkeh--1 sdt merica--secukupnya kecap manis, garam, gula, air--","1) tumis kapulaga, bumbu halus, bubuk kari sampai harum masukkan daging kambing. aduk rata
2) tambahkan air secukupnya, beri garam, gula masak sampai daging empuk dan kuah mengental
3) masukkan nasi dan kecap. aduk2 sampai merata dan nasi agak mengering
4) sajikan nasi goreng kambing dg acar kol, timun,emping dan bawang merah goreng
5) ini beneran enaaak. daging nya masak sampai empuuk ya, pakai kambing yg ada sedikit lemaknya spy lebih gurih",355,https://cookpad.com/id/resep/1041289-nasi-goreng-kambingala-kebon-sirih,kambing,14,"piring nasi putih dingin , daging kambing , potong kotak , btg kayu manis , bubuk kari , bumbu dihaluskan , bawang merah , bawang putih , jinten , adas , ketumbar , kapulaga , cengkeh , merica , kecap manis , garam , gula , air",5
lapis daging sapi,"750 daging sapi (khas dalam)--3 lembar daun salam--5 lembar daun jeruk--2 batang serai, memarkan--1 cm kayumanis--2 butir cengkih--1 sdm gula merah, sisir--1 sdm air asam jawa--3 sdm kecap manis--secukupnya garam--750 ml air (boleh tambah bila daging belum empuk)--bumbu halus:--10 butir bawang merah--6 siung bawang putih--2 cabe merah, buang biji--1 jempol lengkuas muda--4 cm kunyit--1 sdm ketumbar sangrai--5 butir kemiri, goreng--1/4 buah pala--1/2 sdt merica butiran--","1) tumis bumbu halus sampai wangi, masukkan daun salam, serai, daun jeruk, cengkih, kayumanis, aduk rata, masukkan daging, aduk2 sampai berubah warna.
2) setelah daging berubah warna bumbui garam, gula merah, air asam & kecap manis, aduk sampai rata lalu tuangi air, masak sampai daging empuk dan bumbu meresap, angkat dan sajikan.",342,https://cookpad.com/id/resep/4388878-lapis-daging-sapi,sapi,21,"daging sapi khas , daun salam , daun jeruk , serai , memarkan , kayu manis , cengkeh , gula merah , sisir , asam jawa , kecap manis , garam , air daging empuk , bumbu halus , bawang merah , bawang putih , cabe merah , buang biji , jempol lengkuas muda , kunyit , biji ketumbar , kemiri , goreng , pala , merica butiran",2
nasi kebuli,"4 gelas takar beras--secukupnya air (sesuai takaran menanak nasi)--1/2 kg daging kambing (vy : pakai sapi), potong2 dadu--4 sdm minyak goreng--3 sdm margarin (minyak samin)--5 cm kayu manis--5 butir cengkeh--2 buah bunga lawang (pekak)--3 buah kapulaga, ambil bijinya--1/2 sdt lada bubuk--2 sdt garam--1 sachet bumbu kari instan (jk berupa bubuk gunakan ±2 sdm /lbh)--bumbu halus :--7 siung bawang merah--5 siung bawang putih--2 cm kunyit--1 sdt ketumbar--pelengkap :--secukupnya telur dadar, emping goreng, acar, bawang goreng--","1) panaskan margarin dan minyak, tumis bumbu halus smp harum, masukkan kayu manis, cengkeh, pekak, kapulaga, aduk rata
2) masukkan daging, tumis smp berubah warna, masukkan bumbu kari bubuk (jika bumbunya kental tumis bersama kayu manis) aduk rata
3) beri air smp daging terendam, masukkan lada bubuk dan garam, masak smp daging empuk. matikan api (pd tahap ini cengkeh, kayu manis, kapulaga sy buang) test rasa, usahakan air terasa asin krn nanti akan ditambah air lagi
4) cuci beras, masukkan ke panci magicom, tuang rebusan daging ke panci, tambah air sesuai takaran menanak nasi dg magicom, jk suka tekstur nasi yg ambyar sesuaikan sj airnya, aduk rata, tekan tombol cook, tunggu smp matang
5) jadii deh...
6) sajikan dg ditaburi bawang goreng beserta pelengkap seperti dadar telur, emping, acar",337,https://cookpad.com/id/resep/3292806-nasi-kebuli-magicom-kitaberbagi,kambing,19,"takar beras , air takaran menanak nasi , daging kambing vy sapi , potong dadu , minyak goreng , margarin minyak samin , kayu manis , cengkeh , bunga lawang , kapulaga , ambil bijinya , lada , garam , bumbu kari instan jk bubuk ± lbh , bumbu halus , bawang merah , bawang putih , kunyit , ketumbar , pelengkap , telur dadar , emping goreng , acar , bawang goreng",6
telur crispy,3 butir telur kocok lepas--1 bungkus tepung bumbu--1 butir telur kocok buat celupan--1 sdm tepung maizena--secukupnya minyak goreng--,"1) dadar telur tipis2 lalu potong2 persegi panjang
2) campur tepung bumbu dgn maizena,lalu aduk rata
3) celup telur ke dlm telur kocok lalu gulingkan ke tepung kering sambil di remas2 pelan,lalu goreng dlm minyak panas hingga kuning keemasan,angkat dan sajikan",301,https://cookpad.com/id/resep/4024548-telur-crispy,telur,5,"telur kocok lepas , tepung bumbu , telur kocok celupan , tepung maizena , minyak goreng",3
tempe melet,"1 papan tempe,saya jadi 7 potong--bahan isi:--5 butir bawang merah--2 siung bawang putih--3 cabe merah keriting--10 cabe rawit merah,boleh + sesuaikan kepedasan lidah masing2--1 buah tomat--secukupnya trasi, (optional)--bahan tepung:--secukupnya daun bawang,--tepung bumbu serbaguna,karna ga mau ribet bikin tepung sendiri😆--","1) potong tempe menjadi bbrp bagian,belah tengahnya jgn sampe putus ya.. lebih baik potong tempe agak tebal,sisihkan
2) tumis bahan isi,klo aku smua bahan aq blender dl br aku tumis smpe matang.. terserah boleh tumis dl ato blender dl sesuai selera,beri sedikit garam
3) lalu ambil tempe yg sudah dbelah td ambil isian masukkan ditengah2 tempe
4) masukan tempe kedalam adonan tepung bumbu, btw jgn terlalu encer dan kental ya adonannya..jgn lupa jg adonan tepung diberi daun bawang, lalu tempe siap digoreng hingga matang dan sajikan hangat2",280,https://cookpad.com/id/resep/4354009-tempe-melet%f0%9f%91%85,tempe,11,"papan tempe , potong , isi , bawang merah , bawang putih , cabe merah keriting , cabe rawit merah , + kepedasan lidah , tomat , trasi , tepung , daun bawang , tepung bumbu , karna ga ribet bikin tepung",4
